ratio,N,clean,noisy,train_clean,train_noisy,val_clean,val_noisy,BC_SR,success,mean_steps,best_val_loss,source
noise0,20,20,0,16,0,4,0,0.2,10/50,516.7,0.04130794107913971,newly_run
noise0,40,40,0,32,0,8,0,0.4,20/50,412.22,0.027973103579651683,newly_run
noise0,80,80,0,64,0,16,0,0.74,37/50,291.64,0.02059662305622237,newly_run
noise20,20,16,4,12,3,4,1,0.52,26/50,471.18,0.36074460221537147,newly_run
noise20,40,32,8,25,6,7,2,0.76,38/50,365.06,0.7566446229793918,newly_run
noise20,80,64,16,51,12,13,4,0.26,13/50,571.26,0.6944294997260102,newly_run
noise30,20,14,6,11,4,3,2,0.18,9/50,580.96,0.5634574438475706,newly_run
noise30,40,28,12,22,9,6,3,0.0,0/50,600.0,0.5326430138973105,newly_run
noise30,80,56,24,44,19,12,5,0.6,30/50,526.7,0.5234258425460286,newly_run
