policy,episode,success,steps,max_pot_z_delta,min_both_eef_handle_dist,first_both_eef_near_step,grip0_close_frac,grip1_close_frac,first_both_grip_close_step,max_grip0,max_grip1,max_z0,max_z1,mean_action_z0,mean_action_z1
noise80_r1,0,False,600,0.012412846088409424,0.021375318989157677,122,0.0,0.0,,-0.49991634488105774,-0.509519100189209,0.0381600446999073,0.02005242183804512,-0.01917546258928875,-0.039635842411468426
noise80_r1,1,False,600,0.006421148777008057,0.03020547330379486,117,0.0,0.0,,-0.43969714641571045,-0.4523524045944214,0.05072247236967087,0.005719363689422607,-0.024439028338529168,-0.05558685681161781
noise80_r1,2,False,600,0.021921813488006592,0.020098809152841568,99,0.0,0.0,,-0.6415835618972778,-0.6238911151885986,0.07518234848976135,0.03774728998541832,-0.023298288895748556,-0.05387756810989231
noise80_r2,0,False,600,0.0,0.02449241280555725,96,0.0,0.0,,-0.3700645864009857,-0.35842469334602356,0.031200416386127472,0.021387459710240364,-0.04477561614786585,-0.044283608937015134
noise80_r2,1,False,600,0.0,0.028128428384661674,109,0.0,0.0,,-0.3666701912879944,-0.35218027234077454,0.04843514412641525,0.01474829949438572,-0.032732481874215104,-0.040838794557688136
noise80_r2,2,False,600,0.0003980398178100586,0.015149864368140697,99,0.0,0.0,,-0.7235902547836304,-0.7178564667701721,0.01777728460729122,0.01191665232181549,-0.050892725493758915,-0.06814096250726531
noise80_r3,0,False,600,0.000209808349609375,0.020216355100274086,122,0.0,0.0,,-0.37753838300704956,-0.37699270248413086,0.020068911835551262,0.019442200660705566,-0.04254705108546963,-0.051111162103091676
noise80_r3,1,False,600,0.0,0.010946030728518963,127,0.0,0.0,,-0.4341747760772705,-0.44058170914649963,0.03893958777189255,0.028148751705884933,-0.03132978910425057,-0.037512630022441346
noise80_r3,2,False,600,0.0004044175148010254,0.021845702081918716,97,0.0,0.0,,-0.5064135789871216,-0.5099417567253113,0.006998168304562569,0.026147358119487762,-0.05480918468597035,-0.07155916855360071
noise80_r4,0,False,600,0.0,0.012560542672872543,106,0.0,0.0,,-0.24159389734268188,-0.24282702803611755,0.027302848175168037,0.03587856516242027,-0.008709065777560076,-0.004468549375111858
noise80_r4,1,False,600,0.0043489933013916016,0.0185488760471344,110,0.0,0.0,,-0.32475745677948,-0.3166218400001526,0.03574563190340996,0.019823985174298286,-0.013652251004241407,-0.0260061375470832
noise80_r4,2,False,600,0.0,0.016620248556137085,106,0.0,0.0,,-0.40004533529281616,-0.39386796951293945,0.008143350481987,0.01973513886332512,-0.04096050050109625,-0.06080031025068214
