policy,episode,success,steps,reward,max_pot_z_delta,min_both_eef_handle_dist,first_dist_lt_0.035,first_dist_lt_0.025,first_dist_lt_0.015,first_both_grip_gt_-0.5,first_both_grip_gt_0.0,first_both_grip_gt_0.5,max_grip0,max_grip1,max_z0,max_z1,first_both_z_gt_0_5,first_pot_delta_gt_0_05,mean_action_z0,mean_action_z1,mean_abs_xyz
noise80_r3,0,False,600,135.52502645460814,0.000209808349609375,0.020216355100274086,122,133,,154,,,-0.37753838300704956,-0.37699270248413086,0.020068911835551262,0.019442200660705566,,,-0.04254705108546963,-0.051111162103091676,0.03456963976534704
noise80_r3,1,False,600,131.6456564150232,0.0,0.010946030728518963,127,135,146,196,,,-0.4341747760772705,-0.44058170914649963,0.03893958777189255,0.028148751705884933,,,-0.03132978910425057,-0.037512630022441346,0.03702812906044225
noise80_r3,2,False,600,136.39991558328788,0.0004044175148010254,0.021845702081918716,97,103,,,,,-0.5064135789871216,-0.5099417567253113,0.006998168304562569,0.026147358119487762,,,-0.05480918468597035,-0.07155916855360071,0.04747981120211383
noise100_r3,0,False,600,140.5497231548714,0.004452109336853027,0.013195883482694626,123,130,140,154,,,-0.24801895022392273,-0.23619312047958374,0.03514414280653,0.028447549790143967,,,-0.03546065994072706,-0.0071098327760895095,0.032570450655184685
noise100_r3,1,False,600,133.1229682832325,0.0007602572441101074,0.02192521281540394,120,129,,,,,-0.645793616771698,-0.640891432762146,0.041730962693691254,0.05123458057641983,,,-0.02501754493142168,-0.011883167196065187,0.03732461867077897
noise100_r3,2,True,232,45.884096588975986,0.09379392862319946,0.01856428012251854,125,138,,136,197,198,1.0,1.0,0.8800233602523804,0.8721055388450623,222,227,0.016650688115924853,0.00875571690467668,0.060549976506896704
