policy,episode,success,steps,reward,max_pot_z_delta,min_both_dist,first_dist_lt_0_025,first_policy_both_grip_positive,first_expert_both_grip_positive,max_policy_grip0,max_policy_grip1,max_expert_grip0,max_expert_grip1,first_policy_both_z_gt_0_5,first_expert_both_z_gt_0_5,max_policy_z0,max_policy_z1,max_expert_z0,max_expert_z1,max_expert_stage
noise80_r3,0,False,600,135.52502645460814,0.000209808349609375,0.020216355100274086,133,,,-0.37753838300704956,-0.37699270248413086,-1.0,-1.0,,,0.020068911835551262,0.019442200660705566,0.2921077013015747,0.2996492385864258,1
noise80_r3,1,False,600,131.6456564150232,0.0,0.010946030728518963,135,,,-0.4341747760772705,-0.44058170914649963,-1.0,-1.0,,,0.03893958777189255,0.028148751705884933,0.2899261713027954,0.3007434606552124,1
noise80_r3,2,False,600,136.39991558328788,0.0004044175148010254,0.021845702081918716,103,,,-0.5064135789871216,-0.5099417567253113,-1.0,-1.0,,,0.006998168304562569,0.026147358119487762,0.40155282616615295,0.3919891119003296,0
noise100_r3,0,False,600,140.5497231548714,0.004452109336853027,0.013195883482694626,130,,,-0.24801895022392273,-0.23619312047958374,-1.0,-1.0,,,0.03514414280653,0.028447549790143967,0.2906247675418854,0.2859695851802826,1
noise100_r3,1,False,600,133.1229682832325,0.0007602572441101074,0.02192521281540394,129,,,-0.645793616771698,-0.640891432762146,-1.0,-1.0,,,0.041730962693691254,0.05123458057641983,0.39840954542160034,0.3784632682800293,0
noise100_r3,2,True,232,45.884096588975986,0.09379392862319946,0.01856428012251854,138,197,207,1.0,1.0,1.0,1.0,222,227,0.8800233602523804,0.8721055388450623,0.8999999761581421,0.8999999761581421,4
